id,country,value
356,India,12762
826,United Kingdom,4650
608,Philippines,3834
710,South Africa,2240
144,Sri Lanka,1984
156,China,1509
524,Nepal,1412
372,Ireland,1343
76,Brazil,1266
586,Pakistan,823
410,Republic of Korea,767
380,Italy,671
716,Zimbabwe,634
170,Colombia,598
704,Vietnam,508
