Years in Australia,Skill stream participation,Family stream participation,Australian-born participation,Skill stream unemployment,Family stream unemployment,Australian-born unemployment
< 2,72.35054347826086,49.82018901062139,66.34739752997277,13.71674491392801,23.96340439818701,4.8095953251950725
1.6684931506849314,81.65540156764739,59.476714699125864,66.34739752997277,6.288148856621163,10.315509630818621,4.8095953251950725
3.6684931506849314,84.48847997393311,65.76801240142885,66.34739752997277,5.289598408654968,8.019061283049805,4.8095953251950725
5.671232876712328,85.37153012863912,66.3811387645112,66.34739752997277,4.644361833952912,7.018491649430432,4.8095953251950725
7.671232876712328,85.51583125357067,66.54756992320776,66.34739752997277,4.229254571026723,6.538013641656962,4.8095953251950725
9.673972602739726,85.07080184171662,66.91750540871038,66.34739752997277,4.362668222765236,6.072533033455159,4.8095953251950725
11.673972602739726,85.37776421297966,69.80052383844519,66.34739752997277,4.149082856307191,5.847484127092029,4.8095953251950725
14,85.62370453689887,69.36161992636698,66.34739752997277,4.244003729129587,5.6208122409528025,4.8095953251950725
15.999999999999998,86.32904713911755,68.1451830287347,66.34739752997277,4.001473030996333,5.6051106584126105,4.8095953251950725
18,86.33632763450207,71.0493290858191,66.34739752997277,3.7993376890718698,5.199275362318841,4.8095953251950725
20+,85.42959051392663,68.87065852244861,66.34739752997277,3.5295731419802303,5.055997928400337,4.8095953251950725
