Country,Visas
India,1244
China,579
Hong Kong,388
Pakistan,192
Vietnam,157
United States,141
Iran,141
Taiwan,134
United Kingdom,124
Singapore,106
Bangladesh,80
Sri Lanka,62
Israel,55
South Africa,54
Russian Federation,40
