Metric,Australian-born,Established migrants,Recent migrants,Total
Employed at June 2020 ('000),8432.61153871,3886.306941820001,0,12318.918480530001
Employed at June 2025 ('000),9380.77429202,4464.11045122,805.87074082,14650.75548406
Growth ('000),948.16275331,577.8035093999988,805.87074082,2331.8370035299995
Percent growth (%),11.243998955216284,14.867675612091702,n/a,18.928910092354755
Growth as proportion of total growth (%),40.66162222636681,24.778897861441596,34.55947991219157,n/a
