Gender,New Zealand,India,United Kingdom,Philippines,Vietnam,Nepal,Iraq,China,Pakistan,South Africa
Females,17080,11658,6069,5260,3359,3040,2617,2794,2147,2221
Total4,33103,23015,12674,8517,5430,5398,5272,5194,4690,4428
